Label,Filename,Comments
Citizenship,citizenship.csv,From https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/datasets/tableofcontents Citizenship Groupings sheet
Migration Directions,migration-directions.csv,From https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/methodologies/longterminternationalmigrationfrequentlyaskedquestionsandbackgroundnotes#migration-terms-and-definitions
Reasons for Migration,reason.csv,
Occupations,occupation.csv,
Country of Residence,residence.csv,From https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/datasets/ipscitizenshipgroupbysexbyagebycountryoflastornextresidence
Revisions,revision.csv,
Ages,age-groups.csv,
Migration types,migration-type.csv,
Registration Geographies,registration-geographies.csv,
Measurement Units,measurement-units.csv,
