Label,Notation,Parent Notation,Sort Priority
All ages,all,,1
Quinary age groups,agq,all,2
0 - 4,agq/0-4,agq,3
5 - 9,agq/5-9,agq,4
10 - 14,agq/10-14,agq,5
15 - 19,agq/15-19,agq,6
20 - 24,agq/20-24,agq,7
25 - 29,agq/25-29,agq,8
30 - 34,agq/30-34,agq,9
35 - 39,agq/35-39,agq,10
40 - 44,agq/40-44,agq,11
45 - 49,agq/45-49,agq,12
50 - 54,agq/50-54,agq,13
55 - 59,agq/55-59,agq,14
60 - 64,agq/60-64,agq,15
65 - 69,agq/65-69,agq,16
70 - 74,agq/70-74,agq,17
75 - 79,agq/75-79,agq,18
80 - 84,agq/80-84,agq,19
85 - 89,agq/85-89,agq,20
90 and over,agq/90-plus,agq,21
Alternative age groups 1,ag1,all,22
0 - 16,ag1/0-16,ag1,23
17 - 18,ag1/17-18,ag1,24
19 - 21,ag1/19-21,ag1,25
22 - 59,ag1/22-59,ag1,26
60 - 64,ag1/60-64,ag1,27
65 and over,ag1/65-plus,ag1,28
Alternative age groups 2,ag2,all,29
0 - 14,ag2/0-14,ag2,30
15 - 24,ag2/15-24,ag2,31
25 - 44,ag2/25-44,ag2,32
45 - 59,ag2/45-59,ag2,33
60 - 64,ag2/60-64,ag2,34
65 and over,ag2/65-plus,ag2,35
Age groups with gender-specific retirement ages,agr,all,36
Under 15,agr/under-15,agr,37
15-24,agr/15-24,agr,38
25-44,agr/25-44,agr,39
45-59/64,agr/45-59-or-64,agr,40
60/65 and over,agr/60-or-65-and-over,agr,41
NISRA 5 year bands,nisra5,all,42
00-17,nisra5/00-17,nisra5,43
18-24,nisra5/18-24,nisra5,44
25-34,nisra5/25-34,nisra5,45
35-44,nisra5/35-44,nisra5,46
45-54,nisra5/45-54,nisra5,47
55-64,nisra5/55-64,nisra5,48
65+,nisra5/65-plus,nisra5,49
Single Year of Age,year,all,50
0,year/0,year,51
1,year/1,year,52
2,year/2,year,53
3,year/3,year,54
4,year/4,year,55
5,year/5,year,56
6,year/6,year,57
7,year/7,year,58
8,year/8,year,59
9,year/9,year,60
10,year/10,year,61
11,year/11,year,62
12,year/12,year,63
13,year/13,year,64
14,year/14,year,65
15,year/15,year,66
16,year/16,year,67
17,year/17,year,68
18,year/18,year,69
19,year/19,year,70
20,year/20,year,71
21,year/21,year,72
22,year/22,year,73
23,year/23,year,74
24,year/24,year,75
25,year/25,year,76
26,year/26,year,77
27,year/27,year,78
28,year/28,year,79
29,year/29,year,80
30,year/30,year,81
31,year/31,year,82
32,year/32,year,83
33,year/33,year,84
34,year/34,year,85
35,year/35,year,86
36,year/36,year,87
37,year/37,year,88
38,year/38,year,89
39,year/39,year,90
40,year/40,year,91
41,year/41,year,92
42,year/42,year,93
43,year/43,year,94
44,year/44,year,95
45,year/45,year,96
46,year/46,year,97
47,year/47,year,98
48,year/48,year,99
49,year/49,year,100
50,year/50,year,101
51,year/51,year,102
52,year/52,year,103
53,year/53,year,104
54,year/54,year,105
55,year/55,year,106
56,year/56,year,107
57,year/57,year,108
58,year/58,year,109
59,year/59,year,110
60,year/60,year,111
61,year/61,year,112
62,year/62,year,113
63,year/63,year,114
64,year/64,year,115
65,year/65,year,116
66,year/66,year,117
67,year/67,year,118
68,year/68,year,119
69,year/69,year,120
70,year/70,year,121
71,year/71,year,122
72,year/72,year,123
73,year/73,year,124
74,year/74,year,125
75,year/75,year,126
76,year/76,year,127
77,year/77,year,128
78,year/78,year,129
79,year/79,year,130
80,year/80,year,131
81,year/81,year,132
82,year/82,year,133
83,year/83,year,134
84,year/84,year,135
85,year/85,year,136
86,year/86,year,137
87,year/87,year,138
88,year/88,year,139
89,year/89,year,140
90,year/90,year,141
91,year/91,year,142
92,year/92,year,143
93,year/93,year,144
94,year/94,year,145
95,year/95,year,146
96,year/96,year,147
97,year/97,year,148
98,year/98,year,149
99,year/99,year,150
100,year/100,year,151
