Label,Notation,Parent Notation,Sort Priority
United Kingdom,K02000001,,11
North East,E12000001,K02000001,1
North West,E12000002,K02000001,2
Yorkshire and the Humber,E12000003,K02000001,3
East Midlands,E12000004,K02000001,4
West Midlands,E12000005,K02000001,5
East,E12000006,K02000001,6
London,E12000007,K02000001,7
South East,E12000008,K02000001,8
South West,E12000009,K02000001,9
England,E92000001,K02000001,10
Great Britain,K03000001,K02000001,12
England and Wales,K04000001,K02000001,13
Northern Ireland,N92000002,K02000001,14
Scotland,S92000003,K02000001,15
Wales,W92000004,K02000001,16
