Label,Notation,Parent Notation,Sort Priority,Description
World,world,,1,
Europe,europe,world,2,
British,british,europe,3,
Non-British,non-british,,4,
British or British Overseas,british-or-british-overseas,,5,
Not British or British Overseas,not-british-or-british-overseas,,6,
England,england,british,7,
Wales,wales,british,8,
Scotland,scotland,british,9,
Northern Ireland,northern-ireland,british,10,
Isle of Man,isle-of-man,british,11,
Guernsey,guernsey,british,12,
Jersey,jersey,british,13,
Channel Islands (not otherwise specified),channel-islands-not-otherwise-specified,british,14,
Gibraltar,gibraltar,british,15,
Great Britain (not otherwise specified),great-britain-not-otherwise-specified,british,16,
United Kingdom (not otherwise specified),united-kingdom-not-otherwise-specified,british,17,
Anguilla,anguilla,british-overseas,18,
Bermuda,bermuda,british-overseas,19,
British Indian Ocean Territory,british-indian-ocean-territory,british-overseas,20,
British Virgin Islands,british-virgin-islands,british-overseas,22,
Cayman Islands,cayman-islands,british-overseas,23,
Falkland Islands / British Antarctic,falkland-islands-british-antarctic,british-overseas,24,
Montserrat,montserrat,british-overseas,25,
Pitcairn Island,pitcairn-island,british-overseas,26,
South Georgia and South Sandwich Islands,south-georgia-and-south-sandwich-islands,british-overseas,27,
St Helena / Ascension / Tristan da Cunha,st-helena-ascension-tristan-da-cunha,british-overseas,28,
Turks and Caicos Islands,turks-and-caicos-islands,british-overseas,29,
British overseas,british-overseas,,30,
European Union (excluding British),european-union-excluding-british,europe,31,
European Union EU15,european-union-eu15,european-union-excluding-british,32,
Austria,austria,european-union-eu15,33,
Belgium,belgium,european-union-eu15,34,
Denmark,denmark,european-union-eu15,35,
Finland,finland,european-union-eu15,36,
Aland Islands,aland-islands,finland,37,
France,france,european-union-eu15,38,
Germany,germany,european-union-eu15,39,
Greece,greece,european-union-eu15,40,
Republic of Ireland,republic-of-ireland,european-union-eu15,41,
Italy,italy,european-union-eu15,42,
Luxembourg,luxembourg,european-union-eu15,43,
Netherlands,netherlands,european-union-eu15,44,
Portugal,portugal,european-union-eu15,45,
Azores and Madeira,azores-and-madeira,portugal,46,
Spain and Balearic Islands,spain-and-balearic-islands,european-union-eu15,47,
Canary Islands,canary-islands,spain-and-balearic-islands,48,
Spain (not otherwise stated),spain-not-otherwise-stated,spain-and-balearic-islands,49,
Sweden,sweden,european-union-eu15,50,
European Union EU8 (on or after 01/01/04),european-union-eu8-on-or-after-01-01-04,european-union-excluding-british,51,
Czech Republic,czech-republic,european-union-eu8-on-or-after-01-01-04,52,
Estonia,estonia,european-union-eu8-on-or-after-01-01-04,53,
Hungary,hungary,european-union-eu8-on-or-after-01-01-04,54,
Latvia,latvia,european-union-eu8-on-or-after-01-01-04,55,
Lithuania,lithuania,european-union-eu8-on-or-after-01-01-04,56,
Poland,poland,european-union-eu8-on-or-after-01-01-04,57,
Slovakia,slovakia,european-union-eu8-on-or-after-01-01-04,58,
Slovenia,slovenia,european-union-eu8-on-or-after-01-01-04,59,
European Union EU2 (on or after 01/01/07),european-union-eu2-on-or-after-01-01-07,european-union-excluding-british,60,
Bulgaria,bulgaria,european-union-eu2-on-or-after-01-01-07,61,
Romania,romania,european-union-eu2-on-or-after-01-01-07,62,
Other European Union (on or after 01/01/04),other-european-union-on-or-after-01-01-04,european-union-excluding-british,63,
Cyprus (Ex),cyprus-ex,other-european-union-on-or-after-01-01-04,64,
"Cyprus, Southern",cyprus-southern,other-european-union-on-or-after-01-01-04,65,
Malta,malta,other-european-union-on-or-after-01-01-04,66,
Other European Union (on or after 01/07/13),other-european-union-on-or-after-01-07-13,european-union-excluding-british,67,
Croatia,croatia,other-european-union-on-or-after-01-07-13,68,
Other Europe,other-europe,europe,69,
Albania,albania,other-europe,70,
Andorra,andorra,other-europe,71,
Armenia,armenia,other-europe,72,
Azerbaijan,azerbaijan,other-europe,73,
Belarus,belarus,other-europe,74,
Bosnia Herzegovina,bosnia-herzegovina,other-europe,75,
"Cyprus, Northern ",cyprus-northern,other-europe,76,
Czechoslovakia (Ex),czechoslovakia-ex,other-europe,77,
Faeroe Islands,faeroe-islands,other-europe,78,
Georgia,georgia,other-europe,79,
Greenland,greenland,other-europe,80,
Iceland,iceland,other-europe,81,
Kosova,kosova,other-europe,82,
Liechtenstein,liechtenstein,other-europe,83,
Macedonia,macedonia,other-europe,84,
Moldova,moldova,other-europe,85,
Monaco,monaco,other-europe,86,
Montenegro,montenegro,other-europe,87,
Norway,norway,other-europe,88,
Bouvet Island,bouvet-island,norway,89,
