Label,Notation,Parent Notation,Sort Priority,Description
All,all,,1,
Austria,austria,,2,
Belgium,belgium,,3,
Bulgaria,bulgaria,,4,
Croatia,croatia,,5,
Cyprus,cyprus,,6,
Czech Republic,czech-republic,,7,
Denmark,denmark,,8,
Estonia,estonia,,9,
Finland,finland,,10,
France,france,,11,
Germany,germany,,12,
Greece,greece,,13,
Hungary,hungary,,14,
Iceland,iceland,,15,
Ireland,ireland,,16,
Italy,italy,,17,
Latvia,latvia,,18,
Liechtenstein,liechtenstein,,19,
Lithuania,lithuania,,20,
Luxembourg,luxembourg,,21,
Malta,malta,,22,
Netherlands,netherlands,,23,
Norway,norway,,24,
Poland,poland,,25,
Portugal,portugal,,26,
Romania,romania,,27,
Slovakia,slovakia,,28,
Slovenia,slovenia,,29,
Spain,spain,,30,
Sweden,sweden,,31,
Switzerland,switzerland,,32,
