Label,Notation,Parent Notation,Sort Priority,Description
All nationalities,all,,1,
European Union,european-union,all,2,
Rest of the World,rest-of-the-world,all,3,
Non-European Union (Other Europe),non-european-union-other-europe,all,4,
Asia,asia,all,5,
East Asia,east-asia,asia,6,
Middle East and Central Asia,middle-east-and-central-asia,asia,7,
South Asia,south-asia,asia,8,
South East Asia,south-east-asia,asia,9,
European Union EU15,european-union-eu15,european-union,10,
European Union EU2,european-union-eu2,european-union,11,
European Union EU8,european-union-eu8,european-union,12,
European Union Other,european-union-other,european-union,13,
Other Europe,other-europe,non-european-union-other-europe,14,
Central and South America,central-and-south-america,rest-of-the-world,15,
North Africa,north-africa,rest-of-the-world,16,
North America,north-america,rest-of-the-world,17,
Oceania,oceania,rest-of-the-world,18,
Sub-Saharan Africa,sub-saharan-africa,rest-of-the-world,19,
China,china,east-asia,20,
Hong Kong,hong-kong,east-asia,21,
Japan,japan,east-asia,22,
Macau,macau,east-asia,23,
Mongolia,mongolia,east-asia,24,
North Korea,north-korea,east-asia,25,
South Korea,south-korea,east-asia,26,
Taiwan,taiwan,east-asia,27,
Afghanistan,afghanistan,middle-east-and-central-asia,28,
Bahrain,bahrain,middle-east-and-central-asia,29,
Iran,iran,middle-east-and-central-asia,30,
Iraq,iraq,middle-east-and-central-asia,31,
Israel,israel,middle-east-and-central-asia,32,
Jordan,jordan,middle-east-and-central-asia,33,
Kazakhstan,kazakhstan,middle-east-and-central-asia,34,
Kuwait,kuwait,middle-east-and-central-asia,35,
Kyrgyzstan,kyrgyzstan,middle-east-and-central-asia,36,
Lebanon,lebanon,middle-east-and-central-asia,37,
Oman,oman,middle-east-and-central-asia,38,
Qatar,qatar,middle-east-and-central-asia,39,
Saudi Arabia,saudi-arabia,middle-east-and-central-asia,40,
Sharjah,sharjah,middle-east-and-central-asia,41,
Syria,syria,middle-east-and-central-asia,42,
Tajikistan,tajikistan,middle-east-and-central-asia,43,
Turkmenistan,turkmenistan,middle-east-and-central-asia,44,
United Arab Emirates,united-arab-emirates,middle-east-and-central-asia,45,
Uzbekistan,uzbekistan,middle-east-and-central-asia,46,
Yemen,yemen,middle-east-and-central-asia,47,
Bangladesh,bangladesh,south-asia,48,
Bhutan,bhutan,south-asia,49,
British Indian Ocean Territory,british-indian-ocean-territory,south-asia,50,
India,india,south-asia,51,
Maldives,maldives,south-asia,52,
Nepal,nepal,south-asia,53,
Pakistan,pakistan,south-asia,54,
Sri Lanka,sri-lanka,south-asia,55,
Brunei,brunei,south-east-asia,56,
Burma,burma,south-east-asia,57,
Cambodia,cambodia,south-east-asia,58,
East Timor,east-timor,south-east-asia,59,
Indonesia,indonesia,south-east-asia,60,
Laos,laos,south-east-asia,61,
Malaysia,malaysia,south-east-asia,62,
Philippines,philippines,south-east-asia,63,
Sabah,sabah,south-east-asia,64,
Sarawak,sarawak,south-east-asia,65,
Singapore,singapore,south-east-asia,66,
Thailand,thailand,south-east-asia,67,
Vietnam,vietnam,south-east-asia,68,
Austria,austria,european-union-eu15,69,
Belgium,belgium,european-union-eu15,70,
Denmark,denmark,european-union-eu15,71,
Finland,finland,european-union-eu15,72,
France,france,european-union-eu15,73,
Germany,germany,european-union-eu15,74,
Greece,greece,european-union-eu15,75,
Ireland,ireland,european-union-eu15,76,
Italy,italy,european-union-eu15,77,
Luxembourg,luxembourg,european-union-eu15,78,
Netherlands,netherlands,european-union-eu15,79,
Portugal,portugal,european-union-eu15,80,
Spain,spain,european-union-eu15,81,
Sweden,sweden,european-union-eu15,82,
Bulgaria,bulgaria,european-union-eu2,83,
Romania,romania,european-union-eu2,84,
Czech Republic,czech-republic,european-union-eu8,85,
Estonia,estonia,european-union-eu8,86,
Hungary,hungary,european-union-eu8,87,
Latvia,latvia,european-union-eu8,88,
Lithuania,lithuania,european-union-eu8,89,
Poland,poland,european-union-eu8,90,
Slovakia,slovakia,european-union-eu8,91,
Slovenia,slovenia,european-union-eu8,92,
Croatia,croatia,european-union-other,93,
Cyprus,cyprus,european-union-other,94,
Malta,malta,european-union-other,95,
Albania,albania,other-europe,96,
Andorra,andorra,other-europe,97,
Armenia,armenia,other-europe,98,
Azerbaijan,azerbaijan,other-europe,99,
Belarus,belarus,other-europe,100,
Bosnia and Herzegovina,bosnia-and-herzegovina,other-europe,101,
Bouvet Island,bouvet-island,other-europe,102,
Faroe Islands,faroe-islands,other-europe,103,
Georgia,georgia,other-europe,104,
Greenland,greenland,other-europe,105,
Iceland,iceland,other-europe,106,
Liechtenstein,liechtenstein,other-europe,107,
Macedonia,macedonia,other-europe,108,
Moldova,moldova,other-europe,109,
Monaco,monaco,other-europe,110,
Norway,norway,other-europe,111,
Russia,russia,other-europe,112,
San Marino,san-marino,other-europe,113,
Serbia & Montenegro,serbia-montenegro,other-europe,114,
Switzerland,switzerland,other-europe,115,
Turkey,turkey,other-europe,116,
Ukraine,ukraine,other-europe,117,
Vatican City,vatican-city,other-europe,118,
Anguilla,anguilla,central-and-south-america,119,
Antigua,antigua,central-and-south-america,120,
Antilles (Netherlands),antilles-netherlands,central-and-south-america,121,
Argentina,argentina,central-and-south-america,122,
Aruba and Curaçao,aruba-and-curacao,central-and-south-america,123,
Bahamas,bahamas,central-and-south-america,124,
Barbados,barbados,central-and-south-america,125,
Barbuda,barbuda,central-and-south-america,126,
Belize,belize,central-and-south-america,127,
Bermuda,bermuda,central-and-south-america,128,
Bolivia,bolivia,central-and-south-america,129,
Brazil,brazil,central-and-south-america,130,
Cayman Islands,cayman-islands,central-and-south-america,131,
Chile,chile,central-and-south-america,132,
Colombia,colombia,central-and-south-america,133,
Costa Rica,costa-rica,central-and-south-america,134,
Cuba,cuba,central-and-south-america,135,
Dominica,dominica,central-and-south-america,136,
Dominican Rep,dominican-rep,central-and-south-america,137,
Ecuador,ecuador,central-and-south-america,138,
El Salvador,el-salvador,central-and-south-america,139,
Falkland Islands,falkland-islands,central-and-south-america,140,
French Guiana,french-guiana,central-and-south-america,141,
Grenada,grenada,central-and-south-america,142,
Guadeloupe,guadeloupe,central-and-south-america,143,
Guatemala,guatemala,central-and-south-america,144,
Guyana,guyana,central-and-south-america,145,
Haiti,haiti,central-and-south-america,146,
Honduras,honduras,central-and-south-america,147,
Jamaica,jamaica,central-and-south-america,148,
Martinique,martinique,central-and-south-america,149,
Mexico,mexico,central-and-south-america,150,
Montserrat,montserrat,central-and-south-america,151,
Nicaragua,nicaragua,central-and-south-america,152,
Panama,panama,central-and-south-america,153,
Paraguay,paraguay,central-and-south-america,154,
Peru,peru,central-and-south-america,155,
Sint Maarten (Dutch Part),sint-maarten-dutch-part,central-and-south-america,156,
South Georgia & South Sandwich Island,south-georgia-south-sandwich-island,central-and-south-america,157,
St Kitts and Nevis,st-kitts-and-nevis,central-and-south-america,158,
St Lucia,st-lucia,central-and-south-america,159,
St Pierre & Miquelon,st-pierre-miquelon,central-and-south-america,160,
St Vincent & Grenadines,st-vincent-grenadines,central-and-south-america,161,
Suriname,suriname,central-and-south-america,162,
Trinidad & Tobago,trinidad-tobago,central-and-south-america,163,
Turks & Caicos Islands,turks-caicos-islands,central-and-south-america,164,
Uruguay,uruguay,central-and-south-america,165,
Venezuala,venezuala,central-and-south-america,166,
Virgin Islands (British),virgin-islands-british,central-and-south-america,167,
Algeria,algeria,north-africa,168,
Egypt,egypt,north-africa,169,
Libya,libya,north-africa,170,
Mauritania,mauritania,north-africa,171,
Morocco,morocco,north-africa,172,
Sudan,sudan,north-africa,173,
Tunisia,tunisia,north-africa,174,
Western Sahara,western-sahara,north-africa,175,
Canada,canada,north-america,176,
Puerto Rico,puerto-rico,north-america,177,
United States,united-states,north-america,178,
Virgin Islands (USA),virgin-islands-usa,north-america,179,
American Samoa,american-samoa,oceania,180,
Antarctic Territories (British),antarctic-territories-british,oceania,181,
Australia,australia,oceania,182,
Christmas Island,christmas-island,oceania,183,
Cocos (Keeling) Islands,cocos-keeling-islands,oceania,184,
Cook Islands,cook-islands,oceania,185,
Fiji,fiji,oceania,186,
French Polynesia (inc. Tahiti),french-polynesia-inc-tahiti,oceania,187,
French Southern Territories,french-southern-territories,oceania,188,
Heard Island & McDonald Islands,heard-island-mcdonald-islands,oceania,189,
Micronesia (Sub Region),micronesia-sub-region,oceania,190,
New Caledonia,new-caledonia,oceania,191,
New Zealand,new-zealand,oceania,192,
Niue,niue,oceania,193,
Norfolk Island,norfolk-island,oceania,194,
Papua New Guinea,papua-new-guinea,oceania,195,
Pitcairn,pitcairn,oceania,196,
Samoa,samoa,oceania,197,
Solomon Islands,solomon-islands,oceania,198,
Tokelau,tokelau,oceania,199,
Tonga,tonga,oceania,200,
Tuvalu,tuvalu,oceania,201,
US Minor Outlying Islands,us-minor-outlying-islands,oceania,202,
Vanuatu,vanuatu,oceania,203,
Wallis & Futuna,wallis-futuna,oceania,204,
Angola,angola,sub-saharan-africa,205,
Benin,benin,sub-saharan-africa,206,
Botswana,botswana,sub-saharan-africa,207,
Burkina Faso,burkina-faso,sub-saharan-africa,208,
Burundi,burundi,sub-saharan-africa,209,
Cameroon,cameroon,sub-saharan-africa,210,
Cape Verde,cape-verde,sub-saharan-africa,211,
Central African Republic,central-african-republic,sub-saharan-africa,212,
Chad,chad,sub-saharan-africa,213,
Comoros,comoros,sub-saharan-africa,214,
Congo,congo,sub-saharan-africa,215,
Congo (Democratic Republic),congo-democratic-republic,sub-saharan-africa,216,
Djibouti,djibouti,sub-saharan-africa,217,
Equatorial Guinea,equatorial-guinea,sub-saharan-africa,218,
Eritrea,eritrea,sub-saharan-africa,219,
Ethiopia,ethiopia,sub-saharan-africa,220,
Gabon,gabon,sub-saharan-africa,221,
Gambia,gambia,sub-saharan-africa,222,
