Label,Notation,Parent Notation,Sort Priority,Description
World,world,,1,
Africa North,africa-north,world,2,
Africa Sub-Saharan,africa-sub-saharan,world,3,
America Central and South,america-central-and-south,world,4,
America North,america-north,world,5,
Asia Central,asia-central,world,6,
Asia East,asia-east,world,7,
Asia South,asia-south,world,8,
Asia South East,asia-south-east,world,9,
EU 14,eu-14,world,10,
EU 2,eu-2,world,11,
EU 8,eu-8,world,12,
EU Other,eu-other,world,13,
Europe Other,europe-other,world,14,
Middle East,middle-east,world,15,
Oceania,oceania,world,16,
Other,other,world,17,
Afghanistan,afghanistan,asia-central,18,
Albania,albania,europe-other,19,
Algeria,algeria,africa-north,20,
American Samoa,american-samoa,oceania,21,
Andorra,andorra,europe-other,22,
Angola,angola,africa-sub-saharan,23,
Anguilla (British),anguilla-british,other,24,
Antigua and Barbuda,antigua-and-barbuda,america-central-and-south,25,
Argentina,argentina,america-central-and-south,26,
Armenia,armenia,europe-other,27,
Aruba,aruba,america-central-and-south,28,
Australia,australia,oceania,29,
Austria,austria,eu-14,30,
Azerbaijan,azerbaijan,europe-other,31,
"Bahamas, The",bahamas-the,america-central-and-south,32,
Bahrain,bahrain,middle-east,33,
Bangladesh,bangladesh,asia-south,34,
Barbados,barbados,america-central-and-south,35,
Belarus,belarus,europe-other,36,
Belgium,belgium,eu-14,37,
Belize,belize,america-central-and-south,38,
Benin,benin,africa-sub-saharan,39,
Bermuda (British),bermuda-british,other,40,
Bhutan,bhutan,asia-south,41,
Bolivia,bolivia,america-central-and-south,42,
"Bonaire, Sint Eustatius and Saba",bonaire-sint-eustatius-and-saba,america-central-and-south,43,
Bosnia and Herzegovina,bosnia-and-herzegovina,europe-other,44,
Botswana,botswana,africa-sub-saharan,45,
Brazil,brazil,america-central-and-south,46,
British overseas citizens,british-overseas-citizens,other,47,
Brunei,brunei,asia-south-east,48,
Bulgaria,bulgaria,eu-2,49,
Burkina,burkina,africa-sub-saharan,50,
Burma,burma,asia-south-east,51,
Burundi,burundi,africa-sub-saharan,52,
Cambodia,cambodia,asia-south-east,53,
Cameroon,cameroon,africa-sub-saharan,54,
Canada,canada,america-north,55,
Cape Verde,cape-verde,africa-sub-saharan,56,
Cayman Islands (British),cayman-islands-british,other,57,
Central African Republic,central-african-republic,africa-sub-saharan,58,
Chad,chad,africa-sub-saharan,59,
Chile,chile,america-central-and-south,60,
China,china,asia-east,61,
Christmas Island,christmas-island,oceania,62,
Cocos (Keeling) Islands,cocos-keeling-islands,oceania,63,
Colombia,colombia,america-central-and-south,64,
Comoros,comoros,africa-sub-saharan,65,
Congo,congo,africa-sub-saharan,66,
Congo (Democratic Republic),congo-democratic-republic,africa-sub-saharan,67,
Cook Islands,cook-islands,oceania,68,
Costa Rica,costa-rica,america-central-and-south,69,
Croatia,croatia,eu-other,70,
Cuba,cuba,america-central-and-south,71,
Curacao,curacao,america-central-and-south,72,
Cyprus,cyprus,eu-other,73,
Cyprus (Northern part of),cyprus-northern-part-of,europe-other,74,
Czech Republic,czech-republic,eu-8,75,
Denmark,denmark,eu-14,76,
Djibouti,djibouti,africa-sub-saharan,77,
Dominica,dominica,america-central-and-south,78,
Dominican Republic,dominican-republic,america-central-and-south,79,
East Timor,east-timor,asia-south-east,80,
Ecuador,ecuador,america-central-and-south,81,
Egypt,egypt,africa-north,82,
El Salvador,el-salvador,america-central-and-south,83,
Equatorial Guinea,equatorial-guinea,africa-sub-saharan,84,
Eritrea,eritrea,africa-sub-saharan,85,
Estonia,estonia,eu-8,86,
Ethiopia,ethiopia,africa-sub-saharan,87,
Falkland Islands (British),falkland-islands-british,other,88,
Faroe Islands,faroe-islands,europe-other,89,
Fiji,fiji,oceania,90,
Finland,finland,eu-14,91,
Former Yugoslavia,former-yugoslavia,europe-other,92,
France,france,eu-14,93,
French Guiana,french-guiana,america-central-and-south,94,
French Polynesia,french-polynesia,oceania,95,
