Label,Wikidata ID,Notation,Parent Notation,Sort Priority,Description
World,,world,,1,
Africa North,,africa-north,world,2,
Africa Sub-Saharan,,africa-sub-saharan,world,3,
America Central and South,,america-central-and-south,world,4,
America North,,america-north,world,5,
Asia Central,,asia-central,world,6,
Asia East,,asia-east,world,7,
Asia South,,asia-south,world,8,
Asia South East,,asia-south-east,world,9,
EU 14,,eu-14,world,10,
EU 2,,eu-2,world,11,
EU 8,,eu-8,world,12,
EU Other,,eu-other,world,13,
Europe Other,,europe-other,world,14,
Middle East,,middle-east,world,15,
Oceania,,oceania,world,16,
Other,,other,world,17,
Afghanistan,Q889,afghanistan,asia-central,18,
Albania,Q222,albania,europe-other,19,
Algeria,Q262,algeria,africa-north,20,
American Samoa,Q16641,american-samoa,oceania,21,
Andorra,Q228,andorra,europe-other,22,
Angola,Q916,angola,africa-sub-saharan,23,
Anguilla,Q25228,anguilla-british,other,24,
Antigua and Barbuda,Q781,antigua-and-barbuda,america-central-and-south,25,
Argentina,Q414,argentina,america-central-and-south,26,
Armenia,Q399,armenia,europe-other,27,
Aruba,Q21203,aruba,america-central-and-south,28,
Australia,Q408,australia,oceania,29,
Austria,Q40,austria,eu-14,30,
Azerbaijan,Q227,azerbaijan,europe-other,31,
Bahamas,Q778,bahamas-the,america-central-and-south,32,
Bahrain,Q398,bahrain,middle-east,33,
Bangladesh,Q902,bangladesh,asia-south,34,
Barbados,Q244,barbados,america-central-and-south,35,
Belarus,Q184,belarus,europe-other,36,
Belgium,Q31,belgium,eu-14,37,
Belize,Q242,belize,america-central-and-south,38,
Benin,Q962,benin,africa-sub-saharan,39,
Bermuda,Q23635,bermuda-british,other,40,
Bhutan,Q917,bhutan,asia-south,41,
Bolivia,Q750,bolivia,america-central-and-south,42,
"Bonaire, Sint Eustatius and Saba",Q27561,bonaire-sint-eustatius-and-saba,america-central-and-south,43,
Bosnia and Herzegovina,Q225,bosnia-and-herzegovina,europe-other,44,
Botswana,Q963,botswana,africa-sub-saharan,45,
Brazil,Q155,brazil,america-central-and-south,46,
British Overseas citizen,Q4970586,british-overseas-citizens,other,47,
Brunei,Q921,brunei,asia-south-east,48,
Bulgaria,Q219,bulgaria,eu-2,49,
Burkina Faso,Q965,burkina,africa-sub-saharan,50,
Myanmar,Q836,burma,asia-south-east,51,
Burundi,Q967,burundi,africa-sub-saharan,52,
Cambodia,Q424,cambodia,asia-south-east,53,
Cameroon,Q1009,cameroon,africa-sub-saharan,54,
Canada,Q16,canada,america-north,55,
Cape Verde,Q1011,cape-verde,africa-sub-saharan,56,
Cayman Islands,Q5785,cayman-islands-british,other,57,
Central African Republic,Q929,central-african-republic,africa-sub-saharan,58,
Chad,Q657,chad,africa-sub-saharan,59,
Chile,Q298,chile,america-central-and-south,60,
People's Republic of China,Q148,china,asia-east,61,
Christmas Island,Q31063,christmas-island,oceania,62,
Cocos (Keeling) Islands,Q36004,cocos-keeling-islands,oceania,63,
Colombia,Q739,colombia,america-central-and-south,64,
Comoros,Q970,comoros,africa-sub-saharan,65,
Republic of the Congo,Q971,congo,africa-sub-saharan,66,
Democratic Republic of the Congo,Q974,congo-democratic-republic,africa-sub-saharan,67,
Cook Islands,Q26988,cook-islands,oceania,68,
Costa Rica,Q800,costa-rica,america-central-and-south,69,
Croatia,Q224,croatia,eu-other,70,
Cuba,Q241,cuba,america-central-and-south,71,
Curaçao,Q25279,curacao,america-central-and-south,72,
Cyprus,Q229,cyprus,eu-other,73,
Cyprus,Q23681,cyprus-northern-part-of,europe-other,74,
Czech Republic,Q213,czech-republic,eu-8,75,
Denmark,Q35,denmark,eu-14,76,
Djibouti,Q977,djibouti,africa-sub-saharan,77,
Dominica,Q784,dominica,america-central-and-south,78,
Dominican Republic,Q786,dominican-republic,america-central-and-south,79,
East Timor,Q574,east-timor,asia-south-east,80,
Ecuador,Q736,ecuador,america-central-and-south,81,
