Label,Notation,Parent Notation,Sort Priority,Description
Immigration,inflow,,,The number of people coming to visit or live in a country from their country of usual residence.
Emigration,outflow,,,The number of people leaving their country of usual residence to visit or live in another country.
Net migration,balance,,,The difference between the number of people coming to live in the UK (immigration) and the number of people leaving to live elsewhere (emigration). When more people are arriving in the UK than leaving net migration is above zero and so adds to the non-UK population.
Total arrivals into the UK,total-arrivals-uk,,,
Arrivals into UK: article 8.1,arrivals-uk-8-1,,,
Arrivals into UK: article 8.2,arrivals-uk-8-2,,,
Arrivals into UK: article 9,arrivals-uk-9,,,
Arrivals into UK: article 10,arrivals-uk-10,,,
Arrivals into UK: article 11,arrivals-uk-11,,,
Arrivals into UK: article 12,arrivals-uk-12,,,
Arrivals into UK: article 13,arrivals-uk-13,,,
Arrivals into UK: article 14,arrivals-uk-14,,,
Arrivals into UK: article 15,arrivals-uk-15,,,
Arrivals into UK: article 16,arrivals-uk-16,,,
Arrivals into UK: article 17.2,arrivals-uk-17-2,,,
Arrivals into UK: article 18.1,arrivals-uk-18-1,,,
Arrivals into UK: article 20.5,arrivals-uk-20-5,,,
Total requests for transfers into the UK,total-transfer-requests-uk,,,
Requests for transfer into UK: article 8.1,transfer-requests-uk-8-1,,,
Requests for transfer into UK: article 8.2,transfer-requests-uk-8-2,,,
Requests for transfer into UK: article 9,transfer-requests-uk-9,,,
Requests for transfer into UK: article 10,transfer-requests-uk-10,,,
Requests for transfer into UK: article 11,transfer-requests-uk-11,,,
Requests for transfer into UK: article 12,transfer-requests-uk-12,,,
Requests for transfer into UK: article 13,transfer-requests-uk-13,,,
Requests for transfer into UK: article 14,transfer-requests-uk-14,,,
Requests for transfer into UK: article 16,transfer-requests-uk-16,,,
Requests for transfer into UK: article 17.2,transfer-requests-uk-17-2,,,
Requests for transfer into UK: article 18.1,transfer-requests-uk-18-1,,,
Requests for transfer into UK: article 20.5,transfer-requests-uk-20-5,,,
