Label,Description,Component Type,Codelist
Citizenship,Country for which a migrant is a passport holder,Dimension,http://gss-data.org.uk/def/concept-scheme/nationalities
Migration,Direction of migration,Dimension,http://gss-data.org.uk/def/concept-scheme/migration-directions
CI,95% confidence interval,Attribute,
Reason for migration,Reason for migration,Dimension,http://gss-data.org.uk/def/concept-scheme/reasons-for-migration
Occupation,Occupations,Dimension,http://gss-data.org.uk/def/concept-scheme/occupations
Country of residence,Country of last or next residence,Dimension,http://gss-data.org.uk/def/concept-scheme/country-of-residence
Revision,Indicator for whether the original value has been revised and the cause of revision,Dimension,http://gss-data.org.uk/def/concept-scheme/revisions
Age,"Age group, with older age groups split to reflect traditional UK retirement age for women/men",Dimension,http://gss-data.org.uk/def/concept-scheme/ages
Area of Destination or Origin,Area of destination or origin of migration,Dimension,
Migration Type,Type of migration,Dimension,http://gss-data.org.uk/def/concept-scheme/migration-types
